"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 02","106.11","111.93","112.04","105.37","-","-5.10%"
"May 02","111.81","115.18","115.34","110.88","-","-2.93%"
"Apr 02","115.19","118.56","118.70","114.72","-","-2.89%"
"Mar 02","118.62","119.29","119.61","116.76","-","-0.45%"
"Feb 02","119.16","120.21","120.40","118.09","-","-0.90%"
"Jan 02","120.24","116.40","120.51","115.54","-","2.99%"
"Dec 01","116.75","115.61","118.26","114.43","-","0.53%"
"Nov 01","116.13","114.71","117.43","113.66","-","1.11%"
"Oct 01","114.86","113.69","116.27","112.27","-","1.22%"
"Sep 01","113.48","113.48","116.08","111.31","-","0.05%"
"Aug 01","113.42","117.07","117.16","112.32","-","-3.21%"
"Jul 01","117.18","119.39","121.02","116.34","-","-1.88%"
"Jun 01","119.43","119.11","120.33","117.43","-","0.30%"
"May 01","119.07","115.71","119.29","114.27","-","2.78%"
"Apr 01","115.85","117.70","117.82","113.86","-","-1.30%"
"Mar 01","117.37","112.04","117.63","110.82","-","4.79%"
"Feb 01","112.01","110.30","113.62","109.40","-","1.35%"
"Jan 01","110.52","109.33","112.65","108.09","-","0.88%"
"Dec 00","109.56","115.21","115.44","109.46","-","-4.93%"
"Nov 00","115.24","116.60","118.69","112.75","-","-1.21%"
"Oct 00","116.65","113.14","119.07","112.95","-","3.00%"
"Sep 00","113.25","112.36","116.75","111.25","-","0.58%"
"Aug 00","112.60","109.50","112.93","109.35","-","2.77%"
